,exact_name
1124,Bering Sea
1125,Bering Sea
1126,Bering Sea
1127,Bering Sea
1128,Bering Sea
1129,Bering Sea
1130,Bering Sea
1131,Bering Sea
1132,South Pacific Ocean
1133,South Pacific Ocean
1134,South Pacific Ocean
1135,Bering Sea
1136,North Pacific Ocean
1137,Bering Sea
1138,Bering Sea
1139,Bering Sea
1140,Bering Sea
1141,Bering Sea
1142,Bering Sea
1143,Bering Sea
1144,Bering Sea
1145,Bering Sea
1146,Bering Sea
1147,Bering Sea
1148,Bering Sea
1149,Bering Sea
1150,Bering Sea
1151,Bering Sea
1152,Bering Sea
1153,Bering Sea
1154,Bering Sea
1155,Bering Sea
1156,Bering Sea
1157,Bering Sea
1158,South Pacific Ocean
1159,Bering Sea
1160,Bering Sea
1161,Bering Sea
1162,Bering Sea
1163,Bering Sea
1164,Bering Sea
1165,Bering Sea
1166,Bering Sea
1167,Bering Sea
1168,Bering Sea
1169,Bering Sea
1170,Bering Sea
1171,Bering Sea
1172,Bering Sea
1173,Bering Sea
1174,Bering Sea
1175,Bering Sea
1176,Bering Sea
1177,Bering Sea
1178,Bering Sea
1179,Bering Sea
1180,Bering Sea
1181,Bering Sea
1182,Bering Sea
1183,Bering Sea
1184,Bering Sea
1185,Bering Sea
1186,Bering Sea
1187,Bering Sea
1188,Bering Sea
1189,North Pacific Ocean
1190,Bering Sea
1191,Bering Sea
1192,Bering Sea
1193,South Pacific Ocean
1194,South Pacific Ocean
1195,Bering Sea
1196,Bering Sea
1197,Bering Sea
1198,Bering Sea
1199,Bering Sea
1200,Bering Sea
1201,Bering Sea
1202,Bering Sea
1203,North Pacific Ocean
1204,Bering Sea
1205,Bering Sea
1206,Bering Sea
1207,Bering Sea
1208,Bering Sea
1209,Bering Sea
1210,Bering Sea
1211,Bering Sea
1212,Bering Sea
1213,Bering Sea
1214,Bering Sea
1215,Bering Sea
1216,Bering Sea
1217,Bering Sea
1218,Bering Sea
1219,Bering Sea
1220,Bering Sea
1221,Bering Sea
1222,South Pacific Ocean
1223,Bering Sea
1224,Bering Sea
1225,Bering Sea
1226,Bering Sea
1227,Bering Sea
1228,Bering Sea
1229,Bering Sea
1230,Bering Sea
1231,Bering Sea
1232,Bering Sea
1233,Bering Sea
1234,Bering Sea
1235,Bering Sea
1236,Bering Sea
1237,Bering Sea
1238,Bering Sea
1239,Bering Sea
1240,Bering Sea
1241,Bering Sea
1242,Bering Sea
1243,Bering Sea
1244,Bering Sea
1245,Bering Sea
1246,Bering Sea
1247,Bering Sea
1248,Bering Sea
1249,Bering Sea
1250,Bering Sea
1251,Bering Sea
1252,South Pacific Ocean
1253,South Pacific Ocean
1254,South Pacific Ocean
1255,Bering Sea
1256,Bering Sea
1257,Bering Sea
1258,Bering Sea
1259,Bering Sea
1260,Bering Sea
1261,Bering Sea
1262,Bering Sea
1263,Bering Sea
1264,Bering Sea
1265,Bering Sea
1266,Bering Sea
1267,Bering Sea
1268,Bering Sea
1269,Bering Sea
1270,Bering Sea
1271,South Pacific Ocean
1272,South Pacific Ocean
